,0
2000-02-29,0.07443642371441372
2000-03-31,0.016070512947524485
2000-04-30,-0.14855730631319908
2000-05-31,0.11261420021342339
2000-06-30,0.10020149546056789
2000-07-31,-0.06912573111557929
2000-08-31,0.05142378076037568
2000-09-30,0.08047843207544547
2000-10-31,-0.023148760888890507
2000-11-30,0.03876061343979309
2000-12-31,-0.19088124786249994
2001-01-31,0.03961808808851819
2001-02-28,0.0008027476755101404
2001-03-31,-0.08324103275420258
2001-04-30,0.00896896790962165
2001-05-31,0.04060106334074165
2001-06-30,-0.03664209994640233
2001-07-31,-0.04347974408239219
2001-08-31,0.03528895968494217
2001-09-30,-0.04385115899767822
2001-10-31,-0.16701891004440528
2001-11-30,-0.1214067241019876
2001-12-31,-0.012610507591929387
2002-01-31,0.016664509961502816
2002-02-28,0.04990952057385645
